date,open,high,low,close,volume,amount,code
2024-02-20,11.78420484,11.98545312,11.69476116,11.9630922,305978096,1626681256.3,601398
2024-02-21,11.94073128,12.23142324,11.91837036,12.09725772,346734893,1875270275.05,601398
2024-02-22,12.0748968,12.14197956,11.98545312,12.11961864,223127868,1204599969.42,601398
2024-02-23,12.09725772,12.34322784,12.09725772,12.25378416,358318546,1967299035.59,601398
2024-02-26,12.25378416,12.25378416,11.8512876,11.89600944,367717860,1977747711.37,601398
2024-02-27,11.8512876,11.98545312,11.739483,11.8512876,294099947,1560959829.14,601398
2024-02-28,11.8512876,12.00781404,11.69476116,11.91837036,380609395,2021720032.59,601398
2024-02-29,11.87364852,11.98545312,11.8512876,11.91837036,252077765,1342717318.36,601398
2024-03-01,11.89600944,11.9630922,11.82892668,11.94073128,247751146,1317310135.72,601398
2024-03-04,11.89600944,11.94073128,11.80656576,11.89600944,255757275,1359409109.73,601398
2024-03-05,11.89600944,12.25378416,11.8512876,12.20906232,429846712,2323265995.55,601398
2024-03-06,12.1867014,12.27614508,11.9630922,11.9630922,352787155,1910626811.12,601398
2024-03-07,11.9630922,12.0748968,11.94073128,12.03017496,307459409,1650760689.84,601398
2024-03-08,12.00781404,12.0748968,11.94073128,12.05253588,247200399,1328152979.5,601398
2024-03-11,12.03017496,12.05253588,11.91837036,12.00781404,224302648,1200710433.17,601398
2024-03-12,11.98545312,11.98545312,11.60531748,11.6276784,511714772,2688688960.19,601398
2024-03-13,11.60531748,11.65003932,11.49351288,11.56059564,300360721,1555083540.91,601398
2024-03-14,11.53823472,11.69476116,11.49351288,11.60531748,241311421,1253072994.29,601398
2024-03-15,11.60531748,11.71712208,11.60531748,11.65003932,225861420,1177297473.72,601398
2024-03-18,11.65003932,11.67240024,11.56059564,11.58295656,191173451,991424880.43,601398
2024-03-19,11.58295656,11.6276784,11.5158738,11.5158738,202804619,1048062766.24,601398
2024-03-20,11.5158738,11.67240024,11.44879104,11.6276784,245397599,1270999033.04,601398
2024-03-21,11.6276784,11.71712208,11.58295656,11.67240024,205106253,1069468123.33,601398
2024-03-22,11.69476116,11.78420484,11.58295656,11.739483,265784434,1390667474.97,601398
2024-03-25,11.739483,11.82892668,11.71712208,11.82892668,237408100,1252612474.8,601398
2024-03-26,11.82892668,11.91837036,11.76184392,11.91837036,243359624,1289061751.02,601398
2024-03-27,11.89600944,12.05253588,11.8512876,11.98545312,290707855,1558334370.25,601398
2024-03-28,11.94073128,11.9630922,11.67240024,11.739483,397889768,2091220999.33,601398
2024-03-29,11.739483,11.91837036,11.69476116,11.80656576,229812271,1217142787.08,601398
2024-04-01,11.80656576,11.89600944,11.78420484,11.82892668,201919927,1069899178.48,601398
2024-04-02,11.82892668,11.98545312,11.80656576,11.94073128,314250134,1675629707.17,601398
2024-04-03,11.94073128,11.98545312,11.8512876,11.91837036,218224133,1164487633.17,601398
2024-04-08,11.91837036,12.09725772,11.87364852,12.0748968,307046883,1649825520.07,601398
2024-04-09,12.0748968,12.16434048,11.89600944,11.91837036,313915016,1683877064.05,601398
2024-04-10,11.94073128,12.05253588,11.89600944,11.94073128,244947247,1311190476.63,601398
2024-04-11,11.89600944,11.94073128,11.78420484,11.89600944,200263755,1064148839.67,601398
2024-04-12,11.89600944,11.9630922,11.82892668,11.89600944,248394369,1321908574.24,601398
2024-04-15,11.91837036,12.14197956,11.91837036,12.11961864,401243940,2162688285.87,601398
2024-04-16,12.11961864,12.298506,12.03017496,12.23142324,400069253,2183179672.86,601398
2024-04-17,12.1867014,12.34322784,12.05253588,12.298506,332204161,1811875417.65,601398
2024-04-18,12.27614508,12.58919796,12.25378416,12.34322784,387972759,2153809249.22,601398
2024-04-19,12.298506,12.49975428,12.298506,12.4103106,255940597,1421250834.26,601398
2024-04-22,12.45503244,12.61155888,12.23142324,12.25378416,327521249,1813431120.56,601398
